Code,Species_code,Species,Linkage_Group,Total_cM,NCBI_Chromosome,SeqID,Physical_Length_bp,L_coding_bp,Gene_Count,Coding_Density,Assembly_Level,M_morgans,Physical_Length_Mb,recomb_rate
CSM,macaca_mulatta,Macaca mulatta,3,200,3,NC_133408.1,198814188,2153420,2125,0.01083132,Chromosome,2,198.814188,1.005964423
CSM,macaca_mulatta,Macaca mulatta,4,85.7,4,NC_133409.1,183173882,1864436,1944,0.010178504,Chromosome,0.857,183.173882,0.467861461
CSM,macaca_mulatta,Macaca mulatta,5,142.9,5,NC_133410.1,198440196,1438627,1370,0.007249675,Chromosome,1.429,198.440196,0.720116201
CSM,macaca_mulatta,Macaca mulatta,6,114.3,6,NC_133411.1,190852379,1687879,1592,0.008843898,Chromosome,1.143,190.852379,0.598892194
CSM,macaca_mulatta,Macaca mulatta,7,171.4,7,NC_133412.1,180830462,2478618,2618,0.013706861,Chromosome,1.714,180.830462,0.947849152
CSM,macaca_mulatta,Macaca mulatta,8,142.9,8,NC_133413.1,155637635,1245615,1320,0.008003302,Chromosome,1.429,155.637635,0.918158388
CSM,macaca_mulatta,Macaca mulatta,9,171.4,9,NC_133414.1,145811819,1475628,1430,0.010120085,Chromosome,1.714,145.811819,1.175487702
CSM,macaca_mulatta,Macaca mulatta,10,85.7,10,NC_133415.1,117198467,1730719,2361,0.01476742,Chromosome,0.857,117.198467,0.731238234
CSM,macaca_mulatta,Macaca mulatta,11,157.1,11,NC_133416.1,140629503,1953998,1858,0.013894652,Chromosome,1.571,140.629503,1.117119784
CSM,macaca_mulatta,Macaca mulatta,12,142.9,12,NC_133417.1,147927106,1448425,1104,0.009791478,Chromosome,1.429,147.927106,0.96601633
CSM,macaca_mulatta,Macaca mulatta,13,114.3,13,NC_133418.1,124839465,1184688,1184,0.009489691,Chromosome,1.143,124.839465,0.915575856
CSM,macaca_mulatta,Macaca mulatta,14,100,14,NC_133419.1,135239889,2190960,2111,0.016200546,Chromosome,1,135.239889,0.739426812
CSM,macaca_mulatta,Macaca mulatta,15,100,15,NC_133420.1,128971188,1531846,1474,0.011877428,Chromosome,1,128.971188,0.775366976
CSM,macaca_mulatta,Macaca mulatta,16,42.9,16,NC_133421.1,93020102,2144824,2267,0.02305764,Chromosome,0.429,93.020102,0.461190636
CSM,macaca_mulatta,Macaca mulatta,17,114.3,17,NC_133422.1,108447274,678426,695,0.006255814,Chromosome,1.143,108.447274,1.053968401
CSM,macaca_mulatta,Macaca mulatta,18,57.1,18,NC_133423.1,84534201,596538,613,0.007056765,Chromosome,0.571,84.534201,0.675466253
CSM,macaca_mulatta,Macaca mulatta,19,42.9,19,NC_133424.1,70782886,2518684,2432,0.035583234,Chromosome,0.429,70.782886,0.606078707
CSM,macaca_mulatta,Macaca mulatta,20,114.3,20,NC_133425.1,85570776,1545627,1733,0.018062557,Chromosome,1.143,85.570776,1.335736397
AB,papio_cynocephalus,Papio cynocephalus,1,172,1,NC_044976.1,218172882,3496977,3088,0.016028468,Chromosome,1.72,218.172882,0.788365623
AB,papio_cynocephalus,Papio cynocephalus,2,115,2,NC_044977.1,193660750,2055593,1834,0.010614402,Chromosome,1.15,193.66075,0.593821928
AB,papio_cynocephalus,Papio cynocephalus,3,164,3,NC_044978.1,184919515,1386595,1352,0.00749837,Chromosome,1.64,184.919515,0.886872324
AB,papio_cynocephalus,Papio cynocephalus,4,111,4,NC_044979.1,182120902,2018023,1893,0.011080678,Chromosome,1.11,182.120902,0.609485231
AB,papio_cynocephalus,Papio cynocephalus,5,133,5,NC_044980.1,173900761,1605087,1497,0.009229902,Chromosome,1.33,173.900761,0.764804014
AB,papio_cynocephalus,Papio cynocephalus,6,113,6,NC_044981.1,167138247,1744273,1809,0.010436109,Chromosome,1.13,167.138247,0.676087024
AB,papio_cynocephalus,Papio cynocephalus,7,116,7,NC_044982.1,161768468,2292075,2134,0.014168861,Chromosome,1.16,161.768468,0.717074232
AB,papio_cynocephalus,Papio cynocephalus,8,93,8,NC_044983.1,140274886,1200744,1224,0.008559936,Chromosome,0.93,140.274886,0.662983964
AB,papio_cynocephalus,Papio cynocephalus,9,91,9,NC_044984.1,127591819,1857416,1573,0.014557485,Chromosome,0.91,127.591819,0.713211871
AB,papio_cynocephalus,Papio cynocephalus,10,89,10,NC_044985.1,126462689,1421238,1107,0.011238398,Chromosome,0.89,126.462689,0.703764887
AB,papio_cynocephalus,Papio cynocephalus,11,88,11,NC_044986.1,125913696,1369458,1227,0.010876164,Chromosome,0.88,125.913696,0.698891406
AB,papio_cynocephalus,Papio cynocephalus,12,136,12,NC_044987.1,123343450,2104744,1828,0.017064092,Chromosome,1.36,123.34345,1.102612259
AB,papio_cynocephalus,Papio cynocephalus,13,76,13,NC_044988.1,106849001,1400698,1191,0.013109135,Chromosome,0.76,106.849001,0.711284142
AB,papio_cynocephalus,Papio cynocephalus,14,126,14,NC_044989.1,106654974,1164725,1150,0.010920494,Chromosome,1.26,106.654974,1.181379501
AB,papio_cynocephalus,Papio cynocephalus,15,77,15,NC_044990.1,91985775,658075,667,0.007154095,Chromosome,0.77,91.985775,0.837085952
AB,papio_cynocephalus,Papio cynocephalus,16,77,16,NC_044991.1,91184193,1594986,1471,0.017491913,Chromosome,0.77,91.184193,0.844444607
AB,papio_cynocephalus,Papio cynocephalus,17,69,17,NC_044992.1,74525926,2012725,1530,0.027007045,Chromosome,0.69,74.525926,0.9258523
AB,papio_cynocephalus,Papio cynocephalus,18,98,18,NC_044993.1,72894408,1389946,1161,0.019067937,Chromosome,0.98,72.894408,1.344410397
AB,papio_cynocephalus,Papio cynocephalus,19,63,19,NC_044994.1,72123344,558186,571,0.007739325,Chromosome,0.63,72.123344,0.873503591
AB,papio_cynocephalus,Papio cynocephalus,X,84,X,NC_044996.1,142711496,1270729,1043,0.008904181,Chromosome,0.84,142.711496,0.588600094
