Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_002901205.1	Primary Assembly	Un			PDCF01004114.1	Chromosome		NW_019799114.1	unplaced-scaffold	4506			scaffold4109_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004115.1	Chromosome		NW_019799116.1	unplaced-scaffold	4505			scaffold4110_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004116.1	Chromosome		NW_019799117.1	unplaced-scaffold	4504			scaffold4111_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004117.1	Chromosome		NW_019799118.1	unplaced-scaffold	4503			scaffold4112_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004118.1	Chromosome		NW_019799119.1	unplaced-scaffold	4502			scaffold4113_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004119.1	Chromosome		NW_019799120.1	unplaced-scaffold	4501			scaffold4114_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004120.1	Chromosome		NW_019799121.1	unplaced-scaffold	4500			scaffold4115_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004121.1	Chromosome		NW_019799122.1	unplaced-scaffold	4499			scaffold4116_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004122.1	Chromosome		NW_019799123.1	unplaced-scaffold	4499			scaffold4117_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004123.1	Chromosome		NW_019799124.1	unplaced-scaffold	4498			scaffold4118_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004124.1	Chromosome		NW_019799125.1	unplaced-scaffold	4495			scaffold4119_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004125.1	Chromosome		NW_019799127.1	unplaced-scaffold	4494			scaffold4120_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004126.1	Chromosome		NW_019799128.1	unplaced-scaffold	4493			scaffold4121_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004127.1	Chromosome		NW_019799129.1	unplaced-scaffold	4493			scaffold4122_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004128.1	Chromosome		NW_019799130.1	unplaced-scaffold	4493			scaffold4123_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004129.1	Chromosome		NW_019799131.1	unplaced-scaffold	4492			scaffold4124_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004130.1	Chromosome		NW_019799132.1	unplaced-scaffold	4492			scaffold4125_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004131.1	Chromosome		NW_019799133.1	unplaced-scaffold	4492			scaffold4126_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004132.1	Chromosome		NW_019799134.1	unplaced-scaffold	4491			scaffold4127_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004133.1	Chromosome		NW_019799135.1	unplaced-scaffold	4490			scaffold4128_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004134.1	Chromosome		NW_019799136.1	unplaced-scaffold	4489			scaffold4129_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004135.1	Chromosome		NW_019799138.1	unplaced-scaffold	4489			scaffold4130_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004136.1	Chromosome		NW_019799139.1	unplaced-scaffold	4487			scaffold4131_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004137.1	Chromosome		NW_019799140.1	unplaced-scaffold	4482			scaffold4132_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004138.1	Chromosome		NW_019799141.1	unplaced-scaffold	4481			scaffold4133_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004139.1	Chromosome		NW_019799142.1	unplaced-scaffold	4481			scaffold4134_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004140.1	Chromosome		NW_019799143.1	unplaced-scaffold	4479			scaffold4135_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004141.1	Chromosome		NW_019799144.1	unplaced-scaffold	4479			scaffold4136_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004142.1	Chromosome		NW_019799145.1	unplaced-scaffold	4479			scaffold4137_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004143.1	Chromosome		NW_019799146.1	unplaced-scaffold	4479			scaffold4138_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004144.1	Chromosome		NW_019799147.1	unplaced-scaffold	4478			scaffold4139_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004145.1	Chromosome		NW_019799149.1	unplaced-scaffold	4478			scaffold4140_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004146.1	Chromosome		NW_019799150.1	unplaced-scaffold	4477			scaffold4141_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004147.1	Chromosome		NW_019799151.1	unplaced-scaffold	4475			scaffold4142_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004148.1	Chromosome		NW_019799152.1	unplaced-scaffold	4472			scaffold4143_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004149.1	Chromosome		NW_019799153.1	unplaced-scaffold	4471			scaffold4144_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004150.1	Chromosome		NW_019799154.1	unplaced-scaffold	4471			scaffold4145_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004151.1	Chromosome		NW_019799155.1	unplaced-scaffold	4470			scaffold4146_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004152.1	Chromosome		NW_019799156.1	unplaced-scaffold	4470			scaffold4147_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004153.1	Chromosome		NW_019799157.1	unplaced-scaffold	4469			scaffold4148_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004154.1	Chromosome		NW_019799158.1	unplaced-scaffold	4469			scaffold4149_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004155.1	Chromosome		NW_019799160.1	unplaced-scaffold	4468			scaffold4150_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004156.1	Chromosome		NW_019799161.1	unplaced-scaffold	3456			scaffold4151_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004157.1	Chromosome		NW_019799162.1	unplaced-scaffold	4465			scaffold4152_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004158.1	Chromosome		NW_019799163.1	unplaced-scaffold	4463			scaffold4153_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004159.1	Chromosome		NW_019799164.1	unplaced-scaffold	4463			scaffold4154_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004160.1	Chromosome		NW_019799165.1	unplaced-scaffold	4462			scaffold4155_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004161.1	Chromosome		NW_019799166.1	unplaced-scaffold	4461			scaffold4156_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004162.1	Chromosome		NW_019799167.1	unplaced-scaffold	4461			scaffold4157_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004163.1	Chromosome		NW_019799168.1	unplaced-scaffold	4458			scaffold4158_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004164.1	Chromosome		NW_019799169.1	unplaced-scaffold	4458			scaffold4159_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004165.1	Chromosome		NW_019799171.1	unplaced-scaffold	4456			scaffold4160_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004166.1	Chromosome		NW_019799172.1	unplaced-scaffold	4455			scaffold4161_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004167.1	Chromosome		NW_019799173.1	unplaced-scaffold	4455			scaffold4162_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004168.1	Chromosome		NW_019799174.1	unplaced-scaffold	4455			scaffold4163_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004169.1	Chromosome		NW_019799175.1	unplaced-scaffold	4453			scaffold4164_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004170.1	Chromosome		NW_019799176.1	unplaced-scaffold	4452			scaffold4165_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004171.1	Chromosome		NW_019799177.1	unplaced-scaffold	4452			scaffold4166_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004172.1	Chromosome		NW_019799178.1	unplaced-scaffold	4452			scaffold4167_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004173.1	Chromosome		NW_019799179.1	unplaced-scaffold	4450			scaffold4168_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004174.1	Chromosome		NW_019799180.1	unplaced-scaffold	4450			scaffold4169_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004175.1	Chromosome		NW_019799182.1	unplaced-scaffold	4449			scaffold4170_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004176.1	Chromosome		NW_019799183.1	unplaced-scaffold	4449			scaffold4171_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004177.1	Chromosome		NW_019799184.1	unplaced-scaffold	4447			scaffold4172_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004178.1	Chromosome		NW_019799185.1	unplaced-scaffold	4444			scaffold4173_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004179.1	Chromosome		NW_019799186.1	unplaced-scaffold	4443			scaffold4174_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004180.1	Chromosome		NW_019799187.1	unplaced-scaffold	4442			scaffold4175_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004181.1	Chromosome		NW_019799188.1	unplaced-scaffold	4442			scaffold4176_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004182.1	Chromosome		NW_019799189.1	unplaced-scaffold	4441			scaffold4177_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004183.1	Chromosome		NW_019799190.1	unplaced-scaffold	4439			scaffold4178_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004184.1	Chromosome		NW_019799191.1	unplaced-scaffold	4439			scaffold4179_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004185.1	Chromosome		NW_019799193.1	unplaced-scaffold	3511			scaffold4180_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004186.1	Chromosome		NW_019799194.1	unplaced-scaffold	4436			scaffold4181_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004187.1	Chromosome		NW_019799195.1	unplaced-scaffold	4436			scaffold4182_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004188.1	Chromosome		NW_019799196.1	unplaced-scaffold	4432			scaffold4183_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004189.1	Chromosome		NW_019799197.1	unplaced-scaffold	4429			scaffold4184_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004190.1	Chromosome		NW_019799198.1	unplaced-scaffold	3646			scaffold4185_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004191.1	Chromosome		NW_019799199.1	unplaced-scaffold	4426			scaffold4186_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004192.1	Chromosome		NW_019799200.1	unplaced-scaffold	4426			scaffold4187_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004193.1	Chromosome		NW_019799201.1	unplaced-scaffold	4424			scaffold4188_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004194.1	Chromosome		NW_019799202.1	unplaced-scaffold	4423			scaffold4189_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004195.1	Chromosome		NW_019799204.1	unplaced-scaffold	4423			scaffold4190_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004196.1	Chromosome		NW_019799205.1	unplaced-scaffold	4422			scaffold4191_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004197.1	Chromosome		NW_019799206.1	unplaced-scaffold	4421			scaffold4192_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004198.1	Chromosome		NW_019799207.1	unplaced-scaffold	4420			scaffold4193_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004199.1	Chromosome		NW_019799208.1	unplaced-scaffold	4420			scaffold4194_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004200.1	Chromosome		NW_019799209.1	unplaced-scaffold	4418			scaffold4195_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004201.1	Chromosome		NW_019799210.1	unplaced-scaffold	4417			scaffold4196_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004202.1	Chromosome		NW_019799211.1	unplaced-scaffold	4417			scaffold4197_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004203.1	Chromosome		NW_019799212.1	unplaced-scaffold	4417			scaffold4198_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004204.1	Chromosome		NW_019799213.1	unplaced-scaffold	4416			scaffold4199_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004205.1	Chromosome		NW_019799215.1	unplaced-scaffold	4415			scaffold4200_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004206.1	Chromosome		NW_019799216.1	unplaced-scaffold	4414			scaffold4201_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004208.1	Chromosome		NW_019799217.1	unplaced-scaffold	4413			scaffold4203_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004209.1	Chromosome		NW_019799218.1	unplaced-scaffold	4413			scaffold4204_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004210.1	Chromosome		NW_019799219.1	unplaced-scaffold	4411			scaffold4205_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004211.1	Chromosome		NW_019799220.1	unplaced-scaffold	4410			scaffold4206_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004212.1	Chromosome		NW_019799221.1	unplaced-scaffold	4408			scaffold4207_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004213.1	Chromosome		NW_019799222.1	unplaced-scaffold	4408			scaffold4208_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004214.1	Chromosome		NW_019799223.1	unplaced-scaffold	4408			scaffold4209_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004215.1	Chromosome		NW_019799225.1	unplaced-scaffold	4407			scaffold4210_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004216.1	Chromosome		NW_019799226.1	unplaced-scaffold	4406			scaffold4211_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004217.1	Chromosome		NW_019799227.1	unplaced-scaffold	4405			scaffold4212_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004218.1	Chromosome		NW_019799228.1	unplaced-scaffold	4405			scaffold4213_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004219.1	Chromosome		NW_019799229.1	unplaced-scaffold	4405			scaffold4214_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004220.1	Chromosome		NW_019799230.1	unplaced-scaffold	4404			scaffold4215_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004221.1	Chromosome		NW_019799231.1	unplaced-scaffold	4404			scaffold4216_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004222.1	Chromosome		NW_019799232.1	unplaced-scaffold	4403			scaffold4217_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004223.1	Chromosome		NW_019799233.1	unplaced-scaffold	4402			scaffold4218_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004224.1	Chromosome		NW_019799234.1	unplaced-scaffold	4402			scaffold4219_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004225.1	Chromosome		NW_019799236.1	unplaced-scaffold	4402			scaffold4220_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004226.1	Chromosome		NW_019799237.1	unplaced-scaffold	4401			scaffold4221_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004227.1	Chromosome		NW_019799238.1	unplaced-scaffold	4398			scaffold4222_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004228.1	Chromosome		NW_019799239.1	unplaced-scaffold	4397			scaffold4223_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004229.1	Chromosome		NW_019799240.1	unplaced-scaffold	4393			scaffold4224_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004230.1	Chromosome		NW_019799241.1	unplaced-scaffold	4393			scaffold4225_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004231.1	Chromosome		NW_019799242.1	unplaced-scaffold	4391			scaffold4226_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004232.1	Chromosome		NW_019799243.1	unplaced-scaffold	4391			scaffold4227_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004233.1	Chromosome		NW_019799244.1	unplaced-scaffold	4390			scaffold4228_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004234.1	Chromosome		NW_019799245.1	unplaced-scaffold	4389			scaffold4229_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004235.1	Chromosome		NW_019799247.1	unplaced-scaffold	4389			scaffold4230_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004236.1	Chromosome		NW_019799248.1	unplaced-scaffold	4386			scaffold4231_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004237.1	Chromosome		NW_019799249.1	unplaced-scaffold	3638			scaffold4232_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004238.1	Chromosome		NW_019799250.1	unplaced-scaffold	4385			scaffold4233_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004239.1	Chromosome		NW_019799251.1	unplaced-scaffold	4384			scaffold4234_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004240.1	Chromosome		NW_019799252.1	unplaced-scaffold	4382			scaffold4235_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004241.1	Chromosome		NW_019799253.1	unplaced-scaffold	4380			scaffold4236_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004242.1	Chromosome		NW_019799254.1	unplaced-scaffold	4378			scaffold4237_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004243.1	Chromosome		NW_019799255.1	unplaced-scaffold	4377			scaffold4238_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004244.1	Chromosome		NW_019799256.1	unplaced-scaffold	4377			scaffold4239_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004245.1	Chromosome		NW_019799258.1	unplaced-scaffold	4377			scaffold4240_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004246.1	Chromosome		NW_019799259.1	unplaced-scaffold	4375			scaffold4241_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004247.1	Chromosome		NW_019799260.1	unplaced-scaffold	4372			scaffold4242_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004248.1	Chromosome		NW_019799261.1	unplaced-scaffold	4371			scaffold4243_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004249.1	Chromosome		NW_019799262.1	unplaced-scaffold	4371			scaffold4244_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004250.1	Chromosome		NW_019799263.1	unplaced-scaffold	4369			scaffold4245_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004251.1	Chromosome		NW_019799264.1	unplaced-scaffold	4367			scaffold4246_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004252.1	Chromosome		NW_019799265.1	unplaced-scaffold	4365			scaffold4247_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004253.1	Chromosome		NW_019799266.1	unplaced-scaffold	4363			scaffold4248_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004254.1	Chromosome		NW_019799267.1	unplaced-scaffold	4363			scaffold4249_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004255.1	Chromosome		NW_019799269.1	unplaced-scaffold	4363			scaffold4250_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004256.1	Chromosome		NW_019799270.1	unplaced-scaffold	4363			scaffold4251_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004257.1	Chromosome		NW_019799271.1	unplaced-scaffold	4358			scaffold4252_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004258.1	Chromosome		NW_019799272.1	unplaced-scaffold	4357			scaffold4253_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004259.1	Chromosome		NW_019799273.1	unplaced-scaffold	4356			scaffold4254_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004260.1	Chromosome		NW_019799274.1	unplaced-scaffold	4356			scaffold4255_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004261.1	Chromosome		NW_019799275.1	unplaced-scaffold	4356			scaffold4256_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004262.1	Chromosome		NW_019799276.1	unplaced-scaffold	4356			scaffold4257_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004263.1	Chromosome		NW_019799277.1	unplaced-scaffold	4353			scaffold4258_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004264.1	Chromosome		NW_019799278.1	unplaced-scaffold	4353			scaffold4259_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004265.1	Chromosome		NW_019799280.1	unplaced-scaffold	4353			scaffold4260_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004266.1	Chromosome		NW_019799281.1	unplaced-scaffold	4352			scaffold4261_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004267.1	Chromosome		NW_019799282.1	unplaced-scaffold	4352			scaffold4262_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004268.1	Chromosome		NW_019799283.1	unplaced-scaffold	4351			scaffold4263_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004269.1	Chromosome		NW_019799284.1	unplaced-scaffold	4348			scaffold4264_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004270.1	Chromosome		NW_019799285.1	unplaced-scaffold	4346			scaffold4265_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004271.1	Chromosome		NW_019799286.1	unplaced-scaffold	4345			scaffold4266_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004272.1	Chromosome		NW_019799287.1	unplaced-scaffold	4345			scaffold4267_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004273.1	Chromosome		NW_019799288.1	unplaced-scaffold	4344			scaffold4268_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004274.1	Chromosome		NW_019799289.1	unplaced-scaffold	4343			scaffold4269_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004275.1	Chromosome		NW_019799291.1	unplaced-scaffold	4342			scaffold4270_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004276.1	Chromosome		NW_019799292.1	unplaced-scaffold	4342			scaffold4271_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004277.1	Chromosome		NW_019799293.1	unplaced-scaffold	4341			scaffold4272_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004278.1	Chromosome		NW_019799294.1	unplaced-scaffold	4341			scaffold4273_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004279.1	Chromosome		NW_019799295.1	unplaced-scaffold	4341			scaffold4274_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004280.1	Chromosome		NW_019799296.1	unplaced-scaffold	4341			scaffold4275_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004281.1	Chromosome		NW_019799297.1	unplaced-scaffold	4341			scaffold4276_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004282.1	Chromosome		NW_019799298.1	unplaced-scaffold	4339			scaffold4277_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004283.1	Chromosome		NW_019799299.1	unplaced-scaffold	4339			scaffold4278_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004284.1	Chromosome		NW_019799300.1	unplaced-scaffold	4339			scaffold4279_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004285.1	Chromosome		NW_019799302.1	unplaced-scaffold	4338			scaffold4280_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004286.1	Chromosome		NW_019799303.1	unplaced-scaffold	4338			scaffold4281_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004287.1	Chromosome		NW_019799304.1	unplaced-scaffold	4337			scaffold4282_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004288.1	Chromosome		NW_019799305.1	unplaced-scaffold	4336			scaffold4283_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004289.1	Chromosome		NW_019799306.1	unplaced-scaffold	4330			scaffold4284_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004290.1	Chromosome		NW_019799307.1	unplaced-scaffold	4330			scaffold4285_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004291.1	Chromosome		NW_019799308.1	unplaced-scaffold	4328			scaffold4286_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004292.1	Chromosome		NW_019799309.1	unplaced-scaffold	4327			scaffold4287_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004293.1	Chromosome		NW_019799310.1	unplaced-scaffold	3447			scaffold4288_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004294.1	Chromosome		NW_019799311.1	unplaced-scaffold	4322			scaffold4289_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004295.1	Chromosome		NW_019799313.1	unplaced-scaffold	4320			scaffold4290_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004296.1	Chromosome		NW_019799314.1	unplaced-scaffold	4319			scaffold4291_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004297.1	Chromosome		NW_019799315.1	unplaced-scaffold	4317			scaffold4292_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004298.1	Chromosome		NW_019799316.1	unplaced-scaffold	4317			scaffold4293_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004299.1	Chromosome		NW_019799317.1	unplaced-scaffold	4316			scaffold4294_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004300.1	Chromosome		NW_019799318.1	unplaced-scaffold	4316			scaffold4295_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004301.1	Chromosome		NW_019799319.1	unplaced-scaffold	4316			scaffold4296_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004302.1	Chromosome		NW_019799320.1	unplaced-scaffold	4313			scaffold4297_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004303.1	Chromosome		NW_019799321.1	unplaced-scaffold	4312			scaffold4298_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004304.1	Chromosome		NW_019799322.1	unplaced-scaffold	4310			scaffold4299_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004305.1	Chromosome		NW_019799324.1	unplaced-scaffold	4307			scaffold4300_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004306.1	Chromosome		NW_019799325.1	unplaced-scaffold	4307			scaffold4301_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004307.1	Chromosome		NW_019799326.1	unplaced-scaffold	4306			scaffold4302_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004308.1	Chromosome		NW_019799327.1	unplaced-scaffold	4306			scaffold4303_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004309.1	Chromosome		NW_019799328.1	unplaced-scaffold	4305			scaffold4304_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004310.1	Chromosome		NW_019799329.1	unplaced-scaffold	4304			scaffold4305_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004311.1	Chromosome		NW_019799330.1	unplaced-scaffold	4304			scaffold4306_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004312.1	Chromosome		NW_019799331.1	unplaced-scaffold	4304			scaffold4307_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004313.1	Chromosome		NW_019799332.1	unplaced-scaffold	4304			scaffold4308_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004314.1	Chromosome		NW_019799333.1	unplaced-scaffold	4303			scaffold4309_part1
GCF_002901205.1	Primary Assembly	Un			PDCF01004315.1	Chromosome		NW_019799335.1	unplaced-scaffold	4303			scaffold4310_part1
