SNP.Name,Chromosome,cM.Position.Sex.Averaged,cM.Position.Female,cM.Position.Male,Genome.Position.Oarv3.1
OAR3_195236801.1,3,204.222,185.505,239.256,181251741
s16511.1,3,204.222,185.505,239.256,181316897
OAR3_195291305.1,3,204.222,185.505,239.256,181380872
OAR3_195338047.1,3,204.222,185.505,239.256,181393990
OAR3_195348175.1,3,204.222,185.505,239.256,181430432
OAR3_195520988.1,3,204.342,185.505,239.547,181549208
OAR3_195631696.1,3,204.342,185.505,239.547,181650708
OAR3_195730138.1,3,204.342,185.505,239.547,181711513
OAR3_195793605_X.1,3,204.342,185.505,239.547,181785624
OAR3_195832851.1,3,204.342,185.505,239.547,181818709
DU394537_289.1,3,204.342,185.505,239.547,181879470
OAR3_195973885.1,3,204.342,185.505,239.547,181952755
s02992.1,3,204.506,185.505,240.515,181992612
OAR3_196157112.1,3,204.71,185.687,240.515,182145568
CL635241_413.1,3,204.878,185.852,240.515,182202867
OAR3_196245495.1,3,204.878,185.852,240.515,182242247
s39041.1,3,204.878,185.852,240.515,182301335
OAR3_196341344.1,3,204.878,185.852,240.515,182332151
OAR3_196375072.1,3,204.878,185.852,240.515,182367859
OAR3_196453104.1,3,205.231,186.168,240.891,182445512
OAR3_196506344.1,3,205.231,186.168,240.891,182497551
OAR3_196609900.1,3,205.231,186.168,240.891,182591534
OAR3_196681113.1,3,205.231,186.168,240.891,182669294
OAR3_196830362.1,3,205.231,186.168,240.891,182820486
OAR3_196880003.1,3,205.231,186.168,240.891,182867529
OAR3_196904777.1,3,205.231,186.168,240.891,182900674
OAR3_196913312.1,3,205.231,186.168,240.891,182916410
OAR3_197060241.1,3,205.231,186.168,240.891,183051361
s39351.1,3,205.231,186.168,240.891,183075730
OAR3_197179842.1,3,205.231,186.168,240.891,183150221
OAR3_197263301.1,3,205.231,186.168,240.891,183234842
OAR3_197302505.1,3,205.231,186.168,240.891,183273619
s67036.1,3,205.231,186.168,240.891,183347210
OAR3_197402139.1,3,205.231,186.168,240.891,183368930
OAR3_197414907.1,3,205.231,186.168,240.891,183381771
OAR3_197643653.1,3,205.344,186.322,240.891,183549716
OAR3_197722470.1,3,205.344,186.322,240.891,183634010
OAR3_197782015.1,3,205.344,186.322,240.891,183709512
OAR3_197812311.1,3,205.344,186.322,240.891,183740038
OAR3_198038642.1,3,205.344,186.322,240.891,183786376
s10640.1,3,205.344,186.322,240.891,183993081
s37078.1,3,205.344,186.322,240.891,184034290
OAR3_198228001.1,3,205.344,186.322,240.891,184048363
OAR3_198269466.1,3,205.344,186.322,240.891,184078014
OAR3_198298678.1,3,205.344,186.322,240.891,184106820
OAR3_198388718.1,3,205.344,186.322,240.891,184142470
OAR3_198453808.1,3,205.344,186.322,240.891,184200953
OAR3_198471417.1,3,205.344,186.322,240.891,184215328
OAR3_198529928.1,3,205.344,186.322,240.891,184269631
OAR3_198544580.1,3,205.344,186.322,240.891,184273901
OAR3_198610687.1,3,205.495,186.426,241.124,184350786
OAR3_198675741.1,3,205.57,186.53,241.124,184405944
OAR3_198760861.1,3,205.57,186.53,241.124,184495057
OAR3_198854851.1,3,205.57,186.53,241.124,184587197
OAR3_198889007.1,3,206.037,186.81,242.056,184626858
OAR3_198945027.1,3,206.037,186.81,242.056,184679528
OAR3_198986707.1,3,206.215,186.988,242.081,184723218
OAR3_199083360.1,3,206.215,186.988,242.081,184835295
OAR3_199132095.1,3,206.215,186.988,242.081,184880074
OAR3_199195610.1,3,206.215,186.988,242.081,184943054
OAR3_199237855.1,3,206.215,186.988,242.081,184986406
OAR3_199272333.1,3,206.316,186.988,242.584,185019142
OAR3_199355985.1,3,206.453,187.147,242.584,185105552
OAR3_199419936.1,3,206.564,187.147,242.91,185171669
OAR3_199445550.1,3,206.715,187.23,243.147,185199779
OAR3_199509721.1,3,206.715,187.23,243.147,185261131
s29985.1,3,206.715,187.23,243.147,185375708
OAR3_199623974.1,3,206.715,187.23,243.147,185397339
OAR3_199675578.1,3,206.715,187.23,243.147,185437449
OAR3_199684832.1,3,206.838,187.394,243.147,185446443
OAR3_199729264.1,3,206.838,187.394,243.147,185471518
OAR3_199754448.1,3,206.838,187.394,243.147,185498579
OAR3_199863010.1,3,206.838,187.394,243.147,185587920
OAR3_200054679.1,3,207.227,187.75,243.589,185804378
OAR3_200094793_X.1,3,207.227,187.75,243.589,185852933
OAR3_200125923.1,3,207.227,187.75,243.589,185881136
OAR3_200340429.1,3,207.227,187.75,243.589,186107351
OAR3_200394051.1,3,207.227,187.75,243.589,186159798
s70839.1,3,207.227,187.75,243.589,186368226
OAR3_200655235.1,3,207.227,187.75,243.589,186449836
OAR3_200695300.1,3,207.227,187.75,243.589,186489322
s60101.1,3,207.365,187.9,243.712,186540552
OAR3_200790828.1,3,207.365,187.9,243.712,186579672
OAR3_200888015.1,3,207.365,187.9,243.712,186673626
s34710.1,3,207.365,187.9,243.712,186738426
s00512.1,3,207.365,187.9,243.712,186778341
s54113.1,3,207.365,187.9,243.712,186830712
OAR3_201121580.1,3,207.912,188.829,243.92,186875578
OAR3_201206618.1,3,208.073,188.829,244.14,186966141
OAR3_201252515.1,3,208.073,188.829,244.14,187003942
OAR3_201321286.1,3,208.073,188.829,244.14,187066834
OAR3_201425209_X.1,3,208.325,189.004,244.434,187166167
OAR3_201456676.1,3,208.325,189.004,244.434,187199826
s62965.1,3,208.325,189.004,244.434,187242132
OAR3_201535390.1,3,208.325,189.004,244.434,187280333
OAR3_201596975.1,3,208.325,189.004,244.434,187351066
s75829.1,3,208.325,189.004,244.434,187374865
OAR3_201667351.1,3,208.325,189.004,244.434,187420882
OAR3_201713150.1,3,208.457,189.335,244.434,187459238
OAR3_201787440.1,3,208.659,189.376,244.984,187534163
s23807.1,3,209.076,189.745,245.243,187610303
OAR3_201886269.1,3,209.076,189.745,245.243,187634152
s74874.1,3,209.273,190.096,245.243,187772088
s42878.1,3,209.456,190.411,245.243,187789902
OAR3_202095094.1,3,209.643,190.738,245.243,187822072
OAR3_202130185.1,3,209.742,190.902,245.243,187858948
OAR3_202159984.1,3,209.833,191.048,245.243,187895177
OAR3_202299781.1,3,209.926,191.197,245.243,187957387
s35639.1,3,209.926,191.197,245.243,188036544
OAR3_202568143.1,3,209.926,191.197,245.243,188103666
OAR3_202741875.1,3,210.301,191.197,246.111,188276666
OAR3_202790370.1,3,210.301,191.197,246.111,188327717
DU328974_182.1,3,210.301,191.197,246.111,188362240
OAR3_203088704.1,3,211.001,191.901,246.847,188623309
s38201.1,3,212.074,193.006,247.719,188702627
OAR3_203329937.1,3,212.074,193.006,247.719,188862565
OAR3_203338501.1,3,212.074,193.006,247.719,188871122
s54927.1,3,212.074,193.006,247.719,188933844
OAR3_203471372_X.1,3,212.492,193.152,248.708,188948507
OAR3_203790088.1,3,212.492,193.152,248.708,189201112
OAR3_203820155.1,3,212.492,193.152,248.708,189226136
OAR3_203835835.1,3,212.492,193.152,248.708,189249210
OAR3_203907310.1,3,212.492,193.152,248.708,189329851
OAR3_203945151.1,3,212.492,193.152,248.708,189369772
OAR3_204009609.1,3,212.492,193.152,248.708,189434625
OAR3_204017734.1,3,212.895,193.651,248.962,189441287
OAR3_204092311_X.1,3,212.895,193.651,248.962,189513928
OAR3_204124891.1,3,213.195,193.879,249.321,189547874
OAR3_204157824.1,3,213.195,193.879,249.321,189580068
OAR3_204262692.1,3,213.195,193.879,249.321,189685102
s64637.1,3,213.195,193.879,249.321,189745481
OAR3_204344215.1,3,213.195,193.879,249.321,189767279
s73784.1,3,213.403,194.152,249.321,189885462
OAR3_204508392.1,3,213.403,194.152,249.321,189921971
OAR3_204552264.1,3,213.403,194.152,249.321,189965236
OAR3_204624914.1,3,213.612,194.286,249.678,190036206
OAR3_204667080.1,3,213.612,194.286,249.678,190084839
s39325.1,3,213.612,194.286,249.678,190121050
OAR3_204773288.1,3,213.612,194.286,249.678,190185362
OAR3_204825048.1,3,213.659,194.759,249.678,190232159
OAR3_204892199.1,3,214.289,195.284,249.678,190294193
OAR3_204945666.1,3,214.289,195.284,249.678,190346801
OAR3_205049061_X.1,3,214.289,195.284,249.678,190444794
OAR3_205245728.1,3,215.082,195.622,251.555,190636635
OAR3_205270457_X.1,3,215.082,195.622,251.555,190661381
OAR3_205307357.1,3,215.082,195.622,251.555,190696848
s70082.1,3,215.23,195.764,251.715,190881196
OAR3_205527658.1,3,215.23,195.764,251.715,190907829
OAR3_205542104.1,3,215.23,195.764,251.715,190922347
OAR3_205626573.1,3,215.23,195.764,251.715,190967294
OAR3_205668114.1,3,215.23,195.764,251.715,191005334
OAR3_205696462.1,3,215.449,196.069,251.715,191032289
s27298.1,3,215.449,196.069,251.715,191206128
OAR3_205907618.1,3,215.745,196.482,251.715,191222887
OAR3_205964186.1,3,215.745,196.482,251.715,191281675
OAR3_206007678.1,3,215.745,196.482,251.715,191323349
OAR3_206048537.1,3,215.923,196.752,251.715,191365004
OAR3_206083549.1,3,215.923,196.752,251.715,191402887
OAR3_206140708.1,3,215.923,196.752,251.715,191452843
OAR3_206176936.1,3,216.213,197.092,251.967,191488011
OAR3_206227595.1,3,216.213,197.092,251.967,191537292
OAR3_206261855.1,3,216.213,197.092,251.967,191566869
OAR3_206444807.1,3,216.616,197.411,252.513,191713458
OAR3_206488793.1,3,216.616,197.411,252.513,191757402
OAR3_206504999.1,3,216.616,197.411,252.513,191773010
OAR3_206514103.1,3,216.616,197.411,252.513,191780633
OAR3_206671501.1,3,216.766,197.618,252.513,191858225
OAR3_206703822.1,3,216.766,197.618,252.513,191889750
OAR3_206741225.1,3,216.766,197.618,252.513,191936622
OAR3_206767903.1,3,216.766,197.618,252.513,191964280
s63898.1,3,216.841,197.618,252.724,192010489
OAR3_206856083.1,3,216.945,197.778,252.724,192191853
s08646.1,3,216.945,197.778,252.724,192221480
s74776.1,3,216.945,197.778,252.724,192241323
OAR3_206996427.1,3,216.945,197.778,252.724,192327941
OAR3_207052154.1,3,217.086,197.91,252.877,192384776
OAR3_207087501_X.1,3,217.086,197.91,252.877,192421914
OAR3_207154831.1,3,217.086,197.91,252.877,192490498
OAR3_207178476.1,3,217.086,197.91,252.877,192514977
OAR3_207223875.1,3,217.506,198.467,253.012,192554086
OAR3_207261036.1,3,217.506,198.467,253.012,192591487
OAR3_207289038.1,3,217.729,198.467,253.586,192621324
s18880.1,3,217.729,198.467,253.586,192655377
s56669.1,3,217.729,198.467,253.586,192680952
s35003.1,3,217.834,198.693,253.586,192806465
OAR3_207548333.1,3,217.834,198.693,253.586,192857793
OAR3_207571314.1,3,217.834,198.693,253.586,192880768
OAR3_207635006.1,3,217.834,198.693,253.586,192935483
OAR3_207738289.1,3,217.834,198.693,253.586,193035777
OAR3_207790338.1,3,217.834,198.693,253.586,193085453
OAR3_207847578_X.1,3,217.834,198.693,253.586,193150848
s06480.1,3,217.834,198.693,253.586,193231008
s43712.1,3,217.834,198.693,253.586,193287569
OAR3_208013863.1,3,217.924,198.822,253.586,193320232
OAR3_208030431.1,3,217.924,198.822,253.586,193336800
OAR3_208088102.1,3,217.924,198.822,253.586,193399190
OAR3_208122811.1,3,217.924,198.822,253.586,193436918
OAR3_208155795.1,3,217.987,198.921,253.586,193468118
OAR3_208161252.1,3,217.987,198.921,253.586,193472538
OAR3_208210829.1,3,217.987,198.921,253.586,193524327
s54283.1,3,217.987,198.921,253.586,193541517
OAR3_208271044.1,3,218.054,199.007,253.586,193580552
OAR3_208300763.1,3,218.054,199.007,253.586,193613077
OAR3_208496550.1,3,218.264,199.099,254.224,193780632
s53136.1,3,218.399,199.199,254.224,193827830
OAR3_208556995.1,3,218.399,199.199,254.224,193840256
s45609.1,3,218.399,199.199,254.224,193909315
OAR3_208716329.1,3,219.352,200.145,255.177,194003137
OAR3_208755455.1,3,219.352,200.145,255.177,194044181
OAR3_208794039.1,3,219.352,200.145,255.177,194085775
OAR3_208831231.1,3,219.352,200.145,255.177,194123989
OAR3_208854686.1,3,219.352,200.145,255.177,194147824
OAR3_208879910.1,3,219.352,200.145,255.177,194174324
OAR3_209042148.1,3,220.167,201.104,255.763,194352076
OAR3_209162669.1,3,220.167,201.104,255.763,194410740
OAR3_209205973_X.1,3,220.167,201.104,255.763,194454738
OAR3_209315205_X.1,3,220.167,201.104,255.763,194576286
OAR3_209333966.1,3,220.167,201.104,255.763,194632415
OAR3_209397557.1,3,220.167,201.104,255.763,194643915
OAR3_209453847.1,3,220.167,201.104,255.763,194696177
s48060.1,3,220.167,201.104,255.763,194776151
OAR3_209598445.1,3,220.309,201.471,255.763,194850702
OAR3_209645179.1,3,220.49,201.471,255.954,194896964
OAR3_209975146.1,3,220.916,201.934,256.451,195014481
s05323.1,3,220.916,201.934,256.451,195048480
OAR3_210086048.1,3,220.916,201.934,256.451,195125059
OAR3_210093036.1,3,220.916,201.934,256.451,195130839
s45012.1,3,220.916,201.934,256.451,195152420
OAR3_210224745.1,3,220.916,201.934,256.451,195263221
OAR3_210404062.1,3,221.164,202.287,256.451,195443373
s11823.1,3,221.559,202.817,256.451,195586827
OAR3_210605428_X.1,3,221.559,202.817,256.451,195640954
OAR3_210665332.1,3,221.559,202.817,256.451,195703199
s71781.1,3,221.559,202.817,256.451,195849169
OAR3_210839001.1,3,221.559,202.817,256.451,195870435
OAR3_210962782_X.1,3,221.559,202.817,256.451,195975318
OAR3_211011949.1,3,221.559,202.817,256.451,196023908
OAR3_211105578.1,3,222.185,203.343,257.397,196111110
s09474.1,3,222.549,203.703,257.397,196224091
OAR3_211268027.1,3,222.549,203.703,257.397,196254199
OAR3_211332869.1,3,222.549,203.703,257.397,196284155
OAR3_211362922_X.1,3,222.549,203.703,257.397,196313951
OAR3_211412252.1,3,222.549,203.703,257.397,196353200
OAR3_211424806.1,3,222.549,203.703,257.397,196366131
OAR3_211431997.1,3,222.576,203.703,258.061,196373679
OAR3_211514604.1,3,223.096,204.303,258.061,196428006
OAR3_211858595.1,3,223.096,204.303,258.061,196666742
OAR3_211969676.1,3,223.096,204.303,258.061,196774057
OAR3_211975263.1,3,223.096,204.303,258.061,196781108
OAR3_211998144.1,3,223.096,204.303,258.061,196805059
OAR3_212050197.1,3,223.096,204.303,258.061,196859234
OAR3_212080639.1,3,223.096,204.303,258.061,196892662
OAR3_212110574.1,3,223.215,204.418,258.061,196928388
OAR3_212150770.1,3,223.215,204.418,258.061,196970016
OAR3_212215528.1,3,223.215,204.418,258.061,197025760
s45975.1,3,223.215,204.418,258.061,197083301
s56986.1,3,223.215,204.418,258.061,197093447
OAR3_212339443.1,3,223.393,204.559,258.452,197159158
OAR3_212367191.1,3,223.393,204.559,258.452,197184291
OAR3_212476314_X.1,3,223.393,204.559,258.452,197308620
OAR3_212529546.1,3,223.393,204.559,258.452,197367107
OAR3_212580347.1,3,223.393,204.559,258.452,197420357
OAR3_212643715.1,3,223.55,204.797,258.452,197489591
OAR3_212779377.1,3,223.55,204.797,258.452,197622230
s66064.1,3,223.745,205.033,258.452,197683510
OAR3_212958853.1,3,223.745,205.033,258.452,197825582
OAR3_213008204.1,3,223.745,205.033,258.452,197883481
OAR3_213058438.1,3,223.904,205.16,258.775,197938302
OAR3_213095922_X.1,3,223.904,205.16,258.775,197978242
OAR3_213154877.1,3,223.904,205.16,258.775,198048679
OAR3_213254284.1,3,223.904,205.16,258.775,198146898
s31161.1,3,223.904,205.16,258.775,198221800
OAR3_213423457.1,3,224.272,205.472,259.188,198315991
OAR3_213460954.1,3,224.323,205.623,259.188,198352793
OAR3_213520691.1,3,224.531,205.623,259.726,198405764
OAR3_213557477_X.1,3,224.531,205.623,259.726,198445269
OAR3_213565340_X.1,3,224.531,205.623,259.726,198452959
OAR3_213574397.1,3,224.531,205.623,259.726,198462061
OAR3_213627286.1,3,224.531,205.623,259.726,198514191
OAR3_213683884.1,3,224.531,205.623,259.726,198568516
OAR3_213764073.1,3,224.531,205.623,259.726,198637949
OAR3_213909412.1,3,224.531,205.623,259.726,198783633
OAR3_214012412.1,3,224.531,205.623,259.726,198889593
OAR3_214094771.1,3,224.531,205.623,259.726,198973527
OAR3_214143671.1,3,224.531,205.623,259.726,199024628
OAR3_214153251.1,3,224.531,205.623,259.726,199034704
s40119.1,3,224.744,205.623,260.463,199167224
s63942.1,3,225.573,206.877,260.463,199295162
OAR3_214517447.1,3,225.884,207.182,260.668,199414730
s62716.1,3,225.884,207.182,260.668,199469631
OAR3_214578400.1,3,225.884,207.182,260.668,199473854
OAR3_214663567.1,3,225.884,207.182,260.668,199514324
OAR3_214698761.1,3,225.884,207.182,260.668,199547849
OAR3_214771335.1,3,225.884,207.182,260.668,199582322
OAR3_214809983.1,3,225.884,207.182,260.668,199630233
OAR3_214837575.1,3,225.884,207.182,260.668,199663322
OAR3_214919980.1,3,225.884,207.182,260.668,199731499
OAR3_214980002.1,3,226.158,207.478,260.909,199789631
OAR3_215110907.1,3,226.274,207.601,261.009,199924063
s43681.1,3,226.406,207.748,261.121,199961859
OAR3_215202391_X.1,3,226.406,207.748,261.121,200016587
s16435.1,3,226.406,207.748,261.121,200031464
OAR3_215247200.1,3,226.406,207.748,261.121,200063716
OAR3_215267360.1,3,226.406,207.748,261.121,200083592
s56244.1,3,226.406,207.748,261.121,200154216
OAR3_215353751.1,3,226.406,207.748,261.121,200181858
OAR3_215367239.1,3,226.468,207.823,261.121,200195753
OAR3_215388270.1,3,226.468,207.823,261.121,200218730
OAR3_215448612.1,3,226.468,207.823,261.121,200277952
OAR3_215619424.1,3,226.468,207.823,261.121,200384305
OAR3_215669044.1,3,226.468,207.823,261.121,200413745
OAR3_215684234.1,3,226.468,207.823,261.121,200438307
s07450.1,3,226.609,207.823,261.746,200525640
s67068.1,3,226.609,207.823,261.746,200574874
s42477.1,3,227.043,207.952,262.737,200820656
s48336.1,3,227.043,207.952,262.737,200871531
OAR3_216165679.1,3,227.043,207.952,262.737,200936964
OAR3_216218728.1,3,227.043,207.952,262.737,200993107
OAR3_216437540.1,3,227.284,208.265,262.737,201198665
OAR3_216506180.1,3,227.284,208.265,262.737,201253810
OAR3_216615943.1,3,227.284,208.265,262.737,201359927
s38388.1,3,227.284,208.265,262.737,201424027
OAR3_216901626_X.1,3,227.439,208.265,263.418,201540784
OAR3_216958700.1,3,227.439,208.265,263.418,201597190
OAR3_216992810.1,3,227.439,208.265,263.418,201627594
OAR3_217012983.1,3,228.138,209.14,263.498,201648549
s38539.1,3,228.138,209.14,263.498,201684149
OAR3_217179573.1,3,228.138,209.14,263.498,201751430
OAR3_217071000.1,3,228.138,209.14,263.498,201792214
s30057.1,3,228.332,209.318,263.759,201873340
OAR3_217297404.1,3,228.332,209.318,263.759,201904310
DU438537_625.1,3,228.332,209.318,263.759,201968085
OAR3_217425006.1,3,228.332,209.318,263.759,202032181
s00473.1,3,228.332,209.318,263.759,202044096
OAR3_217476207.1,3,228.332,209.318,263.759,202082083
OAR3_217545698.1,3,228.332,209.318,263.759,202149552
OAR3_217636010.1,3,228.532,209.657,263.759,202235895
OAR3_217691571.1,3,228.532,209.657,263.759,202293503
s19395.1,3,228.532,209.657,263.759,202349461
s08921.1,3,228.883,210.062,264.019,202371480
OAR3_217862834.1,3,228.883,210.062,264.019,202422642
OAR3_217926156.1,3,228.883,210.062,264.019,202479019
s44602.1,3,228.883,210.062,264.019,202529831
OAR3_218072179.1,3,229.007,210.255,264.019,202543162
OAR3_218139642.1,3,229.007,210.255,264.019,202690985
OAR3_218165467.1,3,229.275,210.768,264.18,202717558
OAR3_218188481.1,3,229.418,210.768,264.341,202742238
OAR3_218236190.1,3,229.418,210.768,264.341,202789727
OAR3_218311285.1,3,229.418,210.768,264.341,202799418
OAR3_218344869.1,3,229.418,210.768,264.341,202833819
OAR3_218365836.1,3,229.518,210.977,264.341,202854040
OAR3_218476078.1,3,229.853,210.977,264.985,202965950
s32572.1,3,229.853,210.977,264.985,203016804
s62977.1,3,230.864,211.904,266.188,203075803
OAR3_218733455.1,3,231.078,211.983,266.378,203125377
OAR3_218685227.1,3,231.078,211.983,266.378,203163257
s08920.1,3,231.078,211.983,266.378,203197270
OAR3_218818194.1,3,231.078,211.983,266.378,203234722
OAR3_218986335.1,3,231.284,212.43,266.378,203417953
OAR3_219048840.1,3,231.284,212.43,266.378,203506041
OAR3_219088959.1,3,231.284,212.43,266.378,203530985
OAR3_219252548.1,3,231.672,212.665,266.909,203632038
OAR3_219340961.1,3,231.672,212.665,266.909,203725598
s30221.1,3,231.672,212.665,266.909,203798865
OAR3_219470142.1,3,231.925,212.845,267.025,203860710
s43467.1,3,231.954,213.179,267.025,203912574
OAR3_219555806.1,3,231.954,213.179,267.025,203952753
OAR3_220082927.1,3,231.954,213.179,267.025,204178442
OAR3_220210184.1,3,232.215,213.57,267.025,204303130
OAR3_220269553.1,3,232.215,213.57,267.025,204360999
s21995.1,3,232.503,213.933,267.148,204411116
s65588.1,3,232.503,213.933,267.148,204443621
OAR3_220521478.1,3,232.503,213.933,267.148,204455441
OAR3_220429614.1,3,232.592,213.933,267.454,204468500
s62037.1,3,233.344,214.565,268.254,204518002
OAR3_220578689.1,3,233.344,214.565,268.254,204576521
OAR3_220603509.1,3,233.344,214.565,268.254,204596053
OAR3_220962135.1,3,233.45,214.649,268.404,204915080
s17501.1,3,233.45,214.649,268.404,205033008
OAR3_221269475.1,3,233.45,214.649,268.404,205066070
s72530.1,3,233.45,214.649,268.404,205119337
OAR3_221188082.1,3,233.45,214.649,268.404,205157853
OAR3_221452723.1,3,233.576,214.649,268.701,205369695
DU408817_431.1,3,233.576,214.649,268.701,205405234
OAR3_221525844.1,3,233.808,215.267,268.701,205448265
OAR3_221561124.1,3,233.808,215.267,268.701,205484498
OAR3_221591127.1,3,234.091,215.267,268.967,205514201
s24635.1,3,234.221,215.305,269.266,205803661
s09846.1,3,234.221,215.305,269.266,205839252
OAR3_221808319.1,3,234.386,215.648,269.395,205851292
OAR3_221855162_X.1,3,234.521,215.687,269.493,205897400
OAR3_221881068.1,3,234.521,215.687,269.493,205921564
s04948.1,3,234.521,215.687,269.493,205964880
s74504.1,3,234.607,215.842,269.493,205982620
OAR3_221958827.1,3,234.607,215.842,269.493,205990757
OAR3_221965262.1,3,234.607,215.842,269.493,205997196
OAR3_222037158.1,3,234.607,215.842,269.493,206073006
OAR3_222052522.1,3,234.607,215.842,269.493,206079200
OAR3_222092404.1,3,234.607,215.842,269.493,206112247
s63713.1,3,234.607,215.842,269.493,206207783
OAR3_222203288.1,3,234.992,216.448,269.493,206246224
s18184.1,3,234.992,216.448,269.493,206298771
OAR3_222284620.1,3,234.992,216.448,269.493,206325245
OAR3_222339810.1,3,234.992,216.448,269.493,206387813
OAR3_222405395.1,3,235.194,216.821,269.493,206443219
OAR3_222450508.1,3,235.194,216.821,269.493,206483214
OAR3_222498151.1,3,235.194,216.821,269.493,206526726
OAR3_222526622.1,3,235.194,216.821,269.493,206559480
OAR3_222555476.1,3,235.35,217.07,269.493,206599486
OAR3_222561312.1,3,235.35,217.07,269.493,206604915
OAR3_223919696.1,3,235.73,217.442,269.7,206912580
s63143.1,3,236.068,217.983,269.904,206936641
OAR3_224645612.1,3,236.53,218.435,270.314,207160541
s03159.1,3,236.53,218.435,270.314,207182648
s52306.1,3,236.629,218.611,270.314,207265304
s48869.1,3,236.629,218.611,270.314,207333229
OAR3_224902259.1,3,236.629,218.611,270.314,207366672
OAR3_224940272.1,3,236.629,218.611,270.314,207403704
OAR3_225026543.1,3,236.744,218.81,270.314,207486906
s30439.1,3,236.849,218.989,270.314,207616371
OAR3_225191580.1,3,236.849,218.989,270.314,207651116
s33636.1,3,236.849,218.989,270.314,207775682
s04177.1,3,236.849,218.989,270.314,207928110
OAR3_225570777.1,3,237.354,219.397,270.78,207988763
OAR3_225655674.1,3,237.354,219.397,270.78,207999099
s65742.1,3,237.354,219.397,270.78,208052819
s04965.1,3,237.549,219.969,270.78,208078768
OAR3_225811401.1,3,237.986,220.05,270.78,208142992
OAR3_225860485.1,3,238.088,220.05,271.994,208191238
s21575.1,3,238.725,220.922,271.994,208280120
s27475.1,3,238.992,221.255,271.994,208334744
s21996.1,3,238.992,221.255,271.994,208348073
s26229.1,3,239.217,221.504,272.169,208418932
s31875.1,3,239.217,221.504,272.169,208425955
s60524.1,3,239.217,221.504,272.169,208480232
s39274.1,3,239.217,221.504,272.169,208539923
s65981.1,3,239.217,221.504,272.169,208627610
s34146.1,3,239.217,221.504,272.169,208655429
s35827.1,3,239.391,221.605,272.519,208711035
OAR3_226422039_X.1,3,239.638,221.767,273.042,208760674
s02175.1,3,240.021,222.379,273.042,208816055
s47288.1,3,240.465,222.861,273.222,209079167
s65939.1,3,240.465,222.861,273.222,209128734
s07906.1,3,240.465,222.861,273.222,209148184
OAR3_226847164.1,3,240.525,222.861,273.432,209183837
OAR3_226870159.1,3,240.597,222.952,273.432,209206117
OAR3_226880263.1,3,240.597,222.952,273.432,209216075
OAR3_226941810.1,3,240.597,222.952,273.432,209275658
OAR3_226958171.1,3,240.702,223.215,273.432,209291457
OAR3_226997236.1,3,240.702,223.215,273.432,209333153
OAR3_227037955.1,3,240.908,223.215,273.874,209382116
OAR3_227056755.1,3,240.908,223.215,273.874,209399837
s60283.1,3,240.908,223.215,273.874,209451572
OAR3_227164656.1,3,241.223,223.413,274.373,209507561
OAR3_227242428.1,3,241.223,223.413,274.373,209590314
OAR3_227284997.1,3,241.223,223.413,274.373,209633086
DU516691_454.1,3,241.223,223.413,274.373,209665106
s27677.1,3,241.223,223.413,274.373,209736128
s27490.1,3,241.223,223.413,274.373,209744370
OAR3_227420634_X.1,3,241.628,223.615,275.189,209774712
s37471.1,3,241.816,223.823,275.189,209841677
OAR3_227500945.1,3,241.816,223.823,275.189,209850397
OAR3_227547536.1,3,241.816,223.823,275.189,209896639
OAR3_227580261.1,3,241.816,223.823,275.189,209929321
OAR3_227613631.1,3,242.559,224.367,276.391,209963559
OAR3_227674946.1,3,242.559,224.367,276.391,210026352
s02222.1,3,242.559,224.367,276.391,210041432
OAR3_227769239.1,3,242.571,224.367,276.402,210104609
s26070.1,3,242.649,224.367,276.579,210127048
s50625.1,3,242.649,224.367,276.579,210182956
s46318.1,3,242.778,224.625,276.579,210202010
OAR3_227869656.1,3,242.778,224.625,276.579,210208394
s05999.1,3,242.918,224.625,276.932,210270589
s75410.1,3,242.918,224.625,276.932,210329920
s12461.1,3,242.918,224.625,276.932,210336734
s34668.1,3,242.918,224.625,276.932,210413443
OAR3_228151147.1,3,242.918,224.625,276.932,210503819
s45522.1,3,243.137,224.73,277.365,210560833
s03796.1,3,243.168,224.746,277.389,210638502
s10452.1,3,243.199,224.761,277.412,210677097
s10034.1,3,243.199,224.761,277.412,210730904
s07687.1,3,243.399,224.902,277.892,210819726
s11479.1,3,243.588,224.902,278.45,210984467
s08021.1,3,243.588,224.902,278.45,211030722
OAR3_228688076.1,3,243.588,224.902,278.45,211040877
OAR3_228707907.1,3,243.666,224.945,278.578,211058926
s32896.1,3,243.741,224.986,278.702,211108320
s70631.1,3,243.741,224.986,278.702,211116603
s51268.1,3,243.741,224.986,278.702,211145657
s03520.1,3,243.741,224.986,278.702,211171377
OAR3_228963091.1,3,243.741,224.986,278.702,211213193
OAR3_229010825.1,3,243.741,224.986,278.702,211259857
s28170.1,3,243.741,224.986,278.702,211329921
s54639.1,3,243.741,224.986,278.702,211353452
OAR3_229121131.1,3,243.741,224.986,278.702,211368050
s49399.1,3,244.137,225.286,279.454,211462636
s46230.1,3,244.352,225.503,279.454,211478809
OAR3_229287734.1,3,244.454,225.615,279.454,211533519
OAR3_229380206.1,3,244.67,225.742,279.936,211618874
OAR3_229414607.1,3,244.67,225.742,279.936,211654996
OAR3_229469681_X.1,3,244.67,225.742,279.936,211710260
